,precision,recall,f1-score,support
1,0.375,0.011039558417663294,0.021447721179624665,1087.0
2,0.005623242736644799,0.008344923504867872,0.006718924972004479,719.0
3,0.1190176322418136,0.675,0.20235546038543895,280.0
4,0.005319148936170213,0.015873015873015872,0.00796812749003984,189.0
5,0.0,0.0,0.0,179.0
6,0.07692307692307693,0.006711409395973154,0.012345679012345678,149.0
7,0.10416666666666667,0.03816793893129771,0.0558659217877095,131.0
8,0.0,0.0,0.0,117.0
9,0.0,0.0,0.0,89.0
10,0.0,0.0,0.0,71.0
11,0.0,0.0,0.0,56.0
12,0.16666666666666666,0.02127659574468085,0.03773584905660377,47.0
13,0.0,0.0,0.0,44.0
14,0.0,0.0,0.0,37.0
15,0.0,0.0,0.0,36.0
16,0.0,0.0,0.0,35.0
17,0.0,0.0,0.0,34.0
18,0.0,0.0,0.0,33.0
19,0.0,0.0,0.0,30.0
20,0.0,0.0,0.0,30.0
21,0.0,0.0,0.0,30.0
22,0.0,0.0,0.0,28.0
23,0.0,0.0,0.0,28.0
24,0.0,0.0,0.0,24.0
25,0.0,0.0,0.0,24.0
26,0.0,0.0,0.0,23.0
27,0.0,0.0,0.0,21.0
28,0.0,0.0,0.0,20.0
29,0.0,0.0,0.0,19.0
30,0.0,0.0,0.0,18.0
31,0.0,0.0,0.0,18.0
32,0.0,0.0,0.0,18.0
33,0.0,0.0,0.0,18.0
34,0.0,0.0,0.0,17.0
35,0.0,0.0,0.0,14.0
36,0.0,0.0,0.0,14.0
37,0.0,0.0,0.0,14.0
38,0.0,0.0,0.0,14.0
39,0.0,0.0,0.0,13.0
40,0.0,0.0,0.0,13.0
41,0.0,0.0,0.0,12.0
42,0.0,0.0,0.0,12.0
43,0.0,0.0,0.0,12.0
44,0.0,0.0,0.0,12.0
45,0.0,0.0,0.0,11.0
46,0.0,0.0,0.0,11.0
47,0.0,0.0,0.0,11.0
48,0.0,0.0,0.0,10.0
49,0.0,0.0,0.0,10.0
50,0.0,0.0,0.0,10.0
51,0.0,0.0,0.0,10.0
52,0.0,0.0,0.0,9.0
53,0.0,0.0,0.0,8.0
54,0.0,0.0,0.0,7.0
55,0.0,0.0,0.0,7.0
56,0.0,0.0,0.0,6.0
57,0.0,0.0,0.0,6.0
58,0.0,0.0,0.0,6.0
59,0.0,0.0,0.0,5.0
60,0.0,0.0,0.0,5.0
61,0.0,0.0,0.0,4.0
62,0.0,0.0,0.0,4.0
63,0.0,0.0,0.0,4.0
64,0.0,0.0,0.0,4.0
65,0.0,0.0,0.0,4.0
66,0.0,0.0,0.0,3.0
67,0.0,0.0,0.0,3.0
68,0.0,0.0,0.0,3.0
69,0.0,0.0,0.0,3.0
70,0.0,0.0,0.0,3.0
71,0.0,0.0,0.0,2.0
72,0.0,0.0,0.0,2.0
73,0.0,0.0,0.0,2.0
74,0.0,0.0,0.0,2.0
75,0.0,0.0,0.0,2.0
76,0.0,0.0,0.0,2.0
77,0.0,0.0,0.0,2.0
78,0.0,0.0,0.0,1.0
79,0.0,0.0,0.0,1.0
80,0.0,0.0,0.0,1.0
81,0.0,0.0,0.0,1.0
82,0.0,0.0,0.0,1.0
83,0.0,0.0,0.0,1.0
84,0.0,0.0,0.0,1.0
85,0.0,0.0,0.0,1.0
86,0.0,0.0,0.0,1.0
87,0.0,0.0,0.0,1.0
88,0.0,0.0,0.0,1.0
89,0.0,0.0,0.0,1.0
90,0.0,0.0,0.0,1.0
91,0.0,0.0,0.0,1.0
accuracy,0.05392644135188867,0.05392644135188867,0.05392644135188867,0.05392644135188867
macro avg,0.009370510265615813,0.00853201584469779,0.003785029493228207,4024.0
weighted avg,0.11902064434207177,0.05392644135188867,0.024165410490395996,4024.0
